GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
648,14124,13941.03,14124,99.81
649,14124,14021.28,14124,99.89
650,14124,13896.09,14124,99.83
651,14124,14018.07,14124,99.67
652,14124,13896.09,14124,99.87
653,14124,14005.23,14124,99.85
654,14124,13899.3,14124,99.87
655,14124,13982.76,14124,99.91
656,14124,14005.23,14124,99.95
657,14124,14027.7,14124,99.83
658,14124,13992.39,14124,99.87
659,14124,14030.91,14124,99.89
660,14124,14104.74,14124,99.83
661,14124,14005.23,14124,99.91
662,14124,14066.22,14124,99.87
663,14124,14030.91,14124,99.93
664,14124,14050.17,14124,99.85
665,14124,14095.11,14124,99.89
666,14124,13886.46,14124,99.81
667,14124,14056.59,14124,99.97
668,14124,14046.96,14124,99.87
669,14124,14024.49,14124,99.97
670,14124,13976.34,14124,99.87
671,14124,13976.34,14124,99.83
672,14124,13998.81,14124,99.73
673,14124,14008.44,14124,99.85
674,14124,13892.88,14124,99.95
675,14124,13912.14,14124,99.83
676,14124,14066.22,14124,99.89
677,14124,14059.8,14124,99.91
678,14124,13950.66,14124,99.89
679,14124,14098.32,14124,99.91
680,14124,14053.38,14124,99.91
681,14124,13979.55,14124,99.79
682,14124,14002.02,14124,99.89
683,14124,14011.65,14124,99.95
684,14124,13934.61,14124,99.95
685,14124,13934.61,14124,99.91
686,14124,13950.66,14124,99.87
687,14124,13973.13,14124,99.95
688,14124,14030.91,14124,99.83
689,14124,14088.69,14124,99.93
690,14124,14043.75,14124,99.79
691,14124,13966.71,14124,99.89
692,14124,13953.87,14124,99.91
693,14124,14037.33,14124,99.83
694,14124,14014.86,14124,99.93
695,14124,13995.6,14124,99.83
696,14124,14011.65,14124,99.83
697,14124,14098.32,14124,99.85
698,14124,14021.28,14124,99.89
699,14124,13992.39,14124,99.89
700,14124,14066.22,14124,99.79
701,14124,14040.54,14124,99.95
702,14124,14053.38,14124,99.95
703,14124,14063.01,14124,99.91
704,14124,13966.71,14124,99.93
705,14124,13902.51,14124,99.97
706,14124,13934.61,14124,99.89
707,14124,13989.18,14124,99.81
708,14124,14050.17,14124,99.87
709,14124,14069.43,14124,99.91
710,14124,14053.38,14124,99.93
711,14124,14059.8,14124,99.85
